FileName;LOC;Complexity;Depth;Children;Response;Cohesion;Coupling;LambdaCount;LambdaLines;AverageLambdaLines;MaxLambdaLines;LambdaScore;LambdaComplexity;LambdaFieldVariable;HigherOrderFieldVariable;LambdaSideEffect;HigherOrderSideEffect;StreamsCount;TotalStreamOperations;AverageStreamOperations;MaxStreamOperations;ParadigmScore;ParadigmAlternativeScore;PatternMatching;Instanceof;MethodSideEffect;MethodFieldVariable;MethodImpure;MethodRatioSideEffect;MethodRatioFieldVariable;MethodRatioImpure;FieldVariableNonFinal;FieldVariableRatioNonFinal;ComplexLambda;UsesFP
library\src\main\java\com\bumptech\glide\GeneratedAppGlideModule.java;17;1;3;0;2;1;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\GenericTransitionOptions.java;35;2;2;0;12;15;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;1.0;1.0;0;1;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\Glide.java;425;32;1;0;80;647;20;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.6296296296296297;0.18518518518518517;0;0;3;5;5;0.07692307692307693;0.1282051282051282;0.1282051282051282;4;0.25;0;0
library\src\main\java\com\bumptech\glide\GlideBuilder.java;281;18;1;0;42;290;5;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.8709677419354839;0.06451612903225806;0;0;2;2;2;0.07407407407407407;0.07407407407407407;0.07407407407407407;15;0.8333333333333334;0;0
library\src\main\java\com\bumptech\glide\GlideContext.java;108;6;0;0;18;36;9;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;1;1;1;0.1111111111111111;0.1111111111111111;0.1111111111111111;1;0.09090909090909091;0;0
library\src\main\java\com\bumptech\glide\GlideExperiments.java;41;2;1;3;11;0;3;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\ListPreloader.java;191;19;1;2;31;71;2;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.7931034482758621;0.10344827586206896;0;0;3;5;5;0.13636363636363635;0.22727272727272727;0.22727272727272727;8;0.5714285714285714;0;0
library\src\main\java\com\bumptech\glide\load\data\AssetFileDescriptorLocalUriFetcher.java;30;2;2;0;3;3;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\load\data\AssetPathFetcher.java;50;5;1;2;8;13;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.2;0.4;0;0;1;2;2;0.16666666666666666;0.3333333333333333;0.3333333333333333;1;0.25;0;0
library\src\main\java\com\bumptech\glide\load\data\BufferedOutputStream.java;79;8;3;0;15;0;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.5;0.25;0;0;4;5;5;0.5;0.625;0.625;3;0.75;0;0
library\src\main\java\com\bumptech\glide\load\data\DataFetcher.java;18;1;0;16;7;11;17;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;1.0;1.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\load\data\DataRewinder.java;14;1;0;7;4;2;4;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\load\data\DataRewinderRegistry.java;56;5;1;0;14;0;3;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\load\data\ExifOrientationStream.java;107;12;4;0;11;9;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.5714285714285714;0.21428571428571427;0;0;3;3;3;0.5;0.5;0.5;1;0.16666666666666666;0;0
library\src\main\java\com\bumptech\glide\load\data\FileDescriptorAssetPathFetcher.java;24;1;2;0;3;3;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\load\data\FileDescriptorLocalUriFetcher.java;31;2;2;0;3;3;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\load\data\HttpUrlFetcher.java;201;26;1;1;41;39;4;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.5;0.25;0;0;4;4;4;0.3076923076923077;0.3076923076923077;0.3076923076923077;3;0.2727272727272727;0;0
library\src\main\java\com\bumptech\glide\load\data\InputStreamRewinder.java;45;1;1;0;9;0;2;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.5;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\load\data\LocalUriFetcher.java;53;5;1;3;8;13;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.2;0.4;0;0;1;2;2;0.16666666666666666;0.3333333333333333;0.3333333333333333;1;0.25;0;0
library\src\main\java\com\bumptech\glide\load\data\mediastore\FileService.java;13;1;1;0;5;3;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\load\data\mediastore\MediaStoreUtil.java;34;9;1;0;6;15;3;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\load\data\mediastore\ThumbFetcher.java;142;7;1;0;14;34;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.4;0.3;0;0;1;2;2;0.09090909090909091;0.18181818181818182;0.18181818181818182;1;0.1;0;0
library\src\main\java\com\bumptech\glide\load\data\mediastore\ThumbnailQuery.java;6;1;0;2;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\load\data\mediastore\ThumbnailStreamOpener.java;106;14;1;0;10;0;3;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.75;0.125;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\load\data\ParcelFileDescriptorRewinder.java;58;3;1;0;6;4;4;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\load\data\StreamAssetPathFetcher.java;23;1;2;0;4;3;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;1.0;1.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
library\src\main\java\com\bumptech\glide\load\data\StreamLocalUriFetcher.java;70;10;2;0;6;10;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.3333333333333333;0.6666666666666666;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
