FileName;LOC;Complexity;Depth;Children;Response;Cohesion;Coupling;LambdaCount;LambdaLines;AverageLambdaLines;MaxLambdaLines;LambdaScore;LambdaComplexity;LambdaFieldVariable;HigherOrderFieldVariable;LambdaSideEffect;HigherOrderSideEffect;StreamsCount;TotalStreamOperations;AverageStreamOperations;MaxStreamOperations;ParadigmScore;ParadigmAlternativeScore;PatternMatching;Instanceof;MethodSideEffect;MethodFieldVariable;MethodImpure;MethodRatioSideEffect;MethodRatioFieldVariable;MethodRatioImpure;FieldVariableNonFinal;FieldVariableRatioNonFinal;ComplexLambda;UsesFP
gdx\src\com\badlogic\gdx\AbstractGraphics.java;16;3;1;0;3;3;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\AbstractInput.java;61;8;1;0;8;16;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;2;2;0.0;0.25;0.25;2;0.4;0;0
gdx\src\com\badlogic\gdx\Application.java;37;1;0;0;26;325;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;1.0;1.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\ApplicationAdapter.java;21;1;1;0;6;15;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\ApplicationListener.java;9;1;0;0;6;15;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\ApplicationLogger.java;9;1;0;0;6;15;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\assets\AssetDescriptor.java;33;1;1;0;4;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.75;0.125;0;0;0;0;0;0.0;0.0;0.0;1;0.25;0;0
gdx\src\com\badlogic\gdx\assets\AssetErrorListener.java;4;1;0;0;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\assets\AssetLoaderParameters.java;7;1;1;0;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;1;1.0;0;0
gdx\src\com\badlogic\gdx\assets\AssetLoadingTask.java;120;24;1;0;7;1;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;2;3;5;5;0.42857142857142855;0.7142857142857143;0.7142857142857143;8;0.6666666666666666;0;0
gdx\src\com\badlogic\gdx\assets\AssetManager.java;558;120;1;0;58;671;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.9183673469387755;0.04081632653061224;0;1;6;14;14;0.11764705882352941;0.27450980392156865;0.27450980392156865;7;0.4375;0;0
gdx\src\com\badlogic\gdx\assets\loaders\AssetLoader.java;15;1;1;0;2;1;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;1;1;0.0;0.5;0.5;1;1.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\AsynchronousAssetLoader.java;13;1;0;0;3;3;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\BitmapFontLoader.java;76;12;0;0;3;1;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;1;2;2;0.3333333333333333;0.6666666666666666;0.6666666666666666;7;1.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\CubemapLoader.java;72;10;0;0;4;1;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;2;2;0.0;0.6666666666666666;0.6666666666666666;11;1.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\FileHandleResolver.java;6;1;0;0;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\I18NBundleLoader.java;56;4;0;0;4;3;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;1;0.3333333333333333;0;0
gdx\src\com\badlogic\gdx\assets\loaders\ModelLoader.java;93;12;0;0;9;34;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;1;0;2;2;0.0;0.2222222222222222;0.2222222222222222;3;1.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\MusicLoader.java;33;1;0;0;4;4;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;1;2;2;0.25;0.5;0.5;1;1.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\ParticleEffectLoader.java;38;7;0;0;2;1;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;3;1.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\PixmapLoader.java;30;1;0;0;3;3;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;1;1;1;0.3333333333333333;0.3333333333333333;0.3333333333333333;1;1.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\resolvers\AbsoluteFileHandleResolver.java;10;1;1;0;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\resolvers\ClasspathFileHandleResolver.java;10;1;1;0;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\resolvers\ExternalFileHandleResolver.java;10;1;1;0;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\resolvers\InternalFileHandleResolver.java;10;1;1;0;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\resolvers\LocalFileHandleResolver.java;10;1;1;0;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\resolvers\PrefixFileHandleResolver.java;27;1;1;0;5;6;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;3;3;0.0;0.6;0.6;2;1.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\resolvers\ResolutionFileResolver.java;57;16;1;0;3;3;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\ShaderProgramLoader.java;60;17;0;0;6;3;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;1;1;0.0;0.3333333333333333;0.3333333333333333;7;1.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\SkinLoader.java;70;9;0;0;4;6;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\SoundLoader.java;33;1;0;0;4;4;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;1;2;2;0.25;0.5;0.5;1;1.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\SynchronousAssetLoader.java;10;1;0;0;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\TextureAtlasLoader.java;54;4;0;0;2;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;2;2;2;1.0;1.0;1.0;2;1.0;0;0
gdx\src\com\badlogic\gdx\assets\loaders\TextureLoader.java;70;8;0;0;3;1;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;2;2;0.0;0.6666666666666666;0.6666666666666666;12;1.0;0;0
gdx\src\com\badlogic\gdx\audio\AudioDevice.java;12;1;0;0;8;28;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\audio\AudioRecorder.java;6;1;0;0;2;1;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\audio\Music.java;24;1;0;0;14;78;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;1.0;1.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\audio\Sound.java;23;1;0;0;17;136;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\Audio.java;16;1;0;0;6;15;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\files\FileHandle.java;510;104;1;0;94;592;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.3333333333333333;0.3333333333333333;0;1;0;33;33;0.0;0.5892857142857143;0.5892857142857143;2;1.0;0;0
gdx\src\com\badlogic\gdx\files\FileHandleStream.java;58;1;0;0;16;120;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;1.0;1.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\files\package-info.java;1;1;1;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\Files.java;22;1;0;0;10;45;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;1.0;1.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\Game.java;35;8;1;0;7;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;6;6;0.0;0.8571428571428571;0.8571428571428571;1;1.0;0;0
gdx\src\com\badlogic\gdx\Gdx.java;18;1;1;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;11;1.0;0;0
gdx\src\com\badlogic\gdx\graphics\Camera.java;115;4;1;0;20;119;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;4;0.2857142857142857;0;0
gdx\src\com\badlogic\gdx\graphics\Color.java;354;29;1;0;56;1025;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;3;8;8;0.06382978723404255;0.1702127659574468;0.1702127659574468;4;0.1;0;0
gdx\src\com\badlogic\gdx\graphics\Colors.java;57;1;1;0;4;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\graphics\Cubemap.java;194;20;0;0;20;31;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;7;7;0.0;0.3888888888888889;0.3888888888888889;2;0.2857142857142857;0;0
gdx\src\com\badlogic\gdx\graphics\CubemapData.java;10;1;0;0;6;15;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\graphics\Cursor.java;8;1;0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\graphics\FPSLogger.java;24;3;1;0;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;1;1;1;1.0;1.0;1.0;2;1.0;0;0
gdx\src\com\badlogic\gdx\graphics\g2d\Animation.java;114;19;1;0;13;19;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.8518518518518519;0.07407407407407407;0;0;2;10;10;0.18181818181818182;0.9090909090909091;0.9090909090909091;6;1.0;0;0
gdx\src\com\badlogic\gdx\graphics\g2d\Batch.java;69;1;0;0;36;630;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
gdx\src\com\badlogic\gdx\graphics\g2d\BitmapFont.java;658;132;1;0;75;418;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.9735099337748344;0.013245033112582781;0;1;4;24;24;0.07547169811320754;0.4528301886792453;0.4528301886792453;43;0.8775510204081632;0;0
gdx\src\com\badlogic\gdx\graphics\g2d\BitmapFontCache.java;401;59;1;0;45;558;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;6;18;18;0.15;0.45;0.45;9;0.6428571428571429;0;0
