FileName;LOC;Complexity;Depth;Children;Response;Cohesion;Coupling;LambdaCount;LambdaLines;AverageLambdaLines;MaxLambdaLines;LambdaScore;LambdaComplexity;LambdaFieldVariable;HigherOrderFieldVariable;LambdaSideEffect;HigherOrderSideEffect;StreamsCount;TotalStreamOperations;AverageStreamOperations;MaxStreamOperations;ParadigmScore;ParadigmAlternativeScore;PatternMatching;Instanceof;MethodSideEffect;MethodFieldVariable;MethodImpure;MethodRatioSideEffect;MethodRatioFieldVariable;MethodRatioImpure;FieldVariableNonFinal;FieldVariableRatioNonFinal;ComplexLambda;UsesFP
reactor-core\src\main\java\reactor\adapter\JdkFlowAdapter.java;107;1;1;0;20;18;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.5;0;0;0;2;2;0.0;0.11764705882352941;0.11764705882352941;2;0.3333333333333333;0;0
reactor-core\src\main\java\reactor\adapter\package-info.java;3;1;1;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\CorePublisher.java;9;1;0;5;1;0;2;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\CoreSubscriber.java;11;1;0;13;3;1;93;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\Disposable.java;36;3;0;50;10;17;28;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.3333333333333333;0.6666666666666666;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\Disposables.java;302;40;1;0;51;47;20;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.1111111111111111;0.4444444444444444;0;0;4;9;9;0.12121212121212122;0.2727272727272727;0.2727272727272727;3;0.6;0;1
reactor-core\src\main\java\reactor\core\Exceptions.java;352;41;1;4;57;577;93;1;7;7.0;7;0.019886363636363636;2;0;0;0;0;0;0;0.0;0;-0.6363636363636364;0.18181818181818182;0;16;0;0;0;0.0;0.0;0.0;0;0.0;1;1
reactor-core\src\main\java\reactor\core\Fuseable.java;116;10;0;228;19;106;45;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\observability\DefaultSignalListener.java;55;1;1;0;16;120;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.5;0;0;0;1;1;0.0;0.0625;0.0625;1;1.0;0;0
reactor-core\src\main\java\reactor\core\observability\SignalListener.java;29;1;0;4;16;120;7;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;1.0;1.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\observability\SignalListenerFactory.java;7;1;0;2;2;1;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\package-info.java;3;1;1;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\publisher\BaseSubscriber.java;133;13;1;0;22;153;2;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.3333333333333333;0.6666666666666666;0;0;0;0;0;0.0;0.0;0.0;2;1.0;0;0
reactor-core\src\main\java\reactor\core\publisher\BlockingFirstSubscriber.java;26;3;3;0;3;3;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\publisher\BlockingIterable.java;217;27;1;0;28;47;5;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.8947368421052632;0.05263157894736842;0;0;0;0;0;0.0;0.0;0.0;4;0.26666666666666666;0;1
reactor-core\src\main\java\reactor\core\publisher\BlockingLastSubscriber.java;21;1;3;0;3;3;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\publisher\BlockingMonoSubscriber.java;25;3;3;0;3;3;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\publisher\BlockingOptionalMonoSubscriber.java;132;21;2;0;17;55;3;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;4;0.8;0;0
reactor-core\src\main\java\reactor\core\publisher\BlockingSingleSubscriber.java;113;19;2;3;14;28;3;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;4;0.8;0;0
reactor-core\src\main\java\reactor\core\publisher\BufferOverflowStrategy.java;6;1;1;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\publisher\CallSiteSupplierFactory.java;118;16;1;0;24;0;1;2;18;9.0;17;0.15254237288135594;3;0;0;0;0;0;0;0.0;0;0.0;0.5;0;0;0;0;0;0.0;0.0;0.0;0;0.0;1;1
reactor-core\src\main\java\reactor\core\publisher\ConnectableFlux.java;58;4;2;4;12;55;1;2;4;2.0;3;0.06896551724137931;2;0;0;0;0;0;0;0.0;0;0.5;0.75;0;1;0;0;0;0.0;0.0;0.0;0;0.0;0;1
reactor-core\src\main\java\reactor\core\publisher\ConnectableFluxHide.java;31;4;4;0;4;6;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;1.0;1.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\publisher\ConnectableFluxOnAssembly.java;42;5;4;0;5;10;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.5;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\publisher\ConnectableFluxRestoringThreadLocals.java;19;1;3;0;3;1;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.5;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
reactor-core\src\main\java\reactor\core\publisher\ConnectableLift.java;45;6;4;0;6;10;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.5;0;1;0;0;0;0.0;0.0;0.0;0;0.0;0;0
