FileName;LOC;Complexity;Depth;Children;Response;Cohesion;Coupling;LambdaCount;LambdaLines;AverageLambdaLines;MaxLambdaLines;LambdaScore;LambdaComplexity;LambdaFieldVariable;HigherOrderFieldVariable;LambdaSideEffect;HigherOrderSideEffect;StreamsCount;TotalStreamOperations;AverageStreamOperations;MaxStreamOperations;ParadigmScore;ParadigmAlternativeScore;PatternMatching;Instanceof;MethodSideEffect;MethodFieldVariable;MethodImpure;MethodRatioSideEffect;MethodRatioFieldVariable;MethodRatioImpure;FieldVariableNonFinal;FieldVariableRatioNonFinal;ComplexLambda;UsesFP
spring-boot-project\spring-boot\src\main\java\org\springframework\boot\admin\package-info.java;1;1;1;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
spring-boot-project\spring-boot\src\main\java\org\springframework\boot\admin\SpringApplicationAdminMXBean.java;7;1;0;1;4;6;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
spring-boot-project\spring-boot\src\main\java\org\springframework\boot\admin\SpringApplicationAdminMXBeanRegistrar.java;112;8;1;0;19;51;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;2;3;0;0;0;0.0;0.0;0.0;4;0.6666666666666666;0;0
spring-boot-project\spring-boot\src\main\java\org\springframework\boot\ansi\Ansi8BitColor.java;36;6;1;0;8;10;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.5;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
spring-boot-project\spring-boot\src\main\java\org\springframework\boot\ansi\AnsiBackground.java;28;1;1;0;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
spring-boot-project\spring-boot\src\main\java\org\springframework\boot\ansi\AnsiColor.java;28;1;1;0;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
spring-boot-project\spring-boot\src\main\java\org\springframework\boot\ansi\AnsiElement.java;5;1;0;1;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
spring-boot-project\spring-boot\src\main\java\org\springframework\boot\ansi\AnsiOutput.java;115;20;1;0;18;34;4;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.45454545454545453;0.2727272727272727;0;2;1;2;2;0.1111111111111111;0.2222222222222222;0.2222222222222222;3;0.375;0;0
spring-boot-project\spring-boot\src\main\java\org\springframework\boot\ansi\AnsiPropertySource.java;98;12;0;2;20;2;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
spring-boot-project\spring-boot\src\main\java\org\springframework\boot\ansi\AnsiStyle.java;16;1;1;0;1;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
