FileName;LOC;Complexity;Depth;Children;Response;Cohesion;Coupling;LambdaCount;LambdaLines;AverageLambdaLines;MaxLambdaLines;LambdaScore;LambdaComplexity;LambdaFieldVariable;HigherOrderFieldVariable;LambdaSideEffect;HigherOrderSideEffect;StreamsCount;TotalStreamOperations;AverageStreamOperations;MaxStreamOperations;ParadigmScore;ParadigmAlternativeScore;PatternMatching;Instanceof;MethodSideEffect;MethodFieldVariable;MethodImpure;MethodRatioSideEffect;MethodRatioFieldVariable;MethodRatioImpure;FieldVariableNonFinal;FieldVariableRatioNonFinal;ComplexLambda;UsesFP
spring-core\src\main\java\org\springframework\aot\AotDetector.java;11;2;1;0;3;0;2;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
spring-core\src\main\java\org\springframework\aot\generate\AccessControl.java;156;19;1;0;40;21;7;2;2;1.0;1;0.01282051282051282;2;0;0;0;0;0;1;1.0;1;-0.2;0.4;3;3;0;0;0;0.0;0.0;0.0;0;0.0;0;1
spring-core\src\main\java\org\springframework\aot\generate\AppendableConsumerInputStreamSource.java;22;1;1;0;5;1;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.3333333333333333;0.6666666666666666;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
spring-core\src\main\java\org\springframework\aot\generate\ClassNameGenerator.java;71;8;1;0;20;21;4;1;2;2.0;2;0.028169014084507043;1;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;1
spring-core\src\main\java\org\springframework\aot\generate\DefaultGenerationContext.java;58;2;1;0;10;10;3;1;1;1.0;1;0.017241379310344827;1;0;0;0;0;0;0;0.0;0;-0.8;0.1;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;1
spring-core\src\main\java\org\springframework\aot\generate\DefaultMethodReference.java;87;10;1;0;7;15;1;1;1;1.0;1;0.011494252873563218;1;0;0;0;0;0;1;1.0;1;-0.5;0.25;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;1
spring-core\src\main\java\org\springframework\aot\generate\FileSystemGeneratedFiles.java;49;6;1;0;18;1;3;1;5;5.0;5;0.10204081632653061;4;0;0;0;0;0;2;2.0;2;0.6;0.8;0;0;0;0;0;0.0;0.0;0.0;0;0.0;1;1
spring-core\src\main\java\org\springframework\aot\generate\Generated.java;11;1;1;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
spring-core\src\main\java\org\springframework\aot\generate\GeneratedClass.java;81;4;1;0;18;45;10;4;5;1.25;2;0.06172839506172839;4;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;1
spring-core\src\main\java\org\springframework\aot\generate\GeneratedClasses.java;87;2;1;0;16;36;4;2;3;1.5;2;0.034482758620689655;2;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;1
spring-core\src\main\java\org\springframework\aot\generate\GeneratedFiles.java;74;8;0;2;23;91;5;3;3;1.0;1;0.04054054054054054;3;0;0;0;0;0;0;0.0;0;0.7777777777777778;0.8888888888888888;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;1
spring-core\src\main\java\org\springframework\aot\generate\GeneratedMethod.java;32;1;1;0;4;6;10;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
spring-core\src\main\java\org\springframework\aot\generate\GeneratedMethods.java;54;1;1;0;11;10;3;0;0;0.0;0;0.0;0;0;0;0;0;0;1;0.5;1;-0.6;0.2;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;1
