FileName;LOC;Complexity;Depth;Children;Response;Cohesion;Coupling;LambdaCount;LambdaLines;AverageLambdaLines;MaxLambdaLines;LambdaScore;LambdaComplexity;LambdaFieldVariable;HigherOrderFieldVariable;LambdaSideEffect;HigherOrderSideEffect;StreamsCount;TotalStreamOperations;AverageStreamOperations;MaxStreamOperations;ParadigmScore;ParadigmAlternativeScore;PatternMatching;Instanceof;MethodSideEffect;MethodFieldVariable;MethodImpure;MethodRatioSideEffect;MethodRatioFieldVariable;MethodRatioImpure;FieldVariableNonFinal;FieldVariableRatioNonFinal;ComplexLambda;UsesFP
src\main\java\examples\BufferExamples.java;43;2;1;0;25;36;2;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
src\main\java\examples\CompletionStageInteropExamples.java;35;2;1;0;17;3;3;4;19;4.75;8;0.5428571428571428;5;0;0;0;0;0;0;0.0;0;1.0;1.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;1;1
src\main\java\examples\ConfigurableVerticleExamples.java;8;1;2;0;4;0;2;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
src\main\java\examples\CoreExamples.java;350;13;1;0;152;1324;27;28;128;4.571428571428571;8;0.3657142857142857;37;2;2;0;0;0;0;0.0;0;1.0;1.0;0;0;0;2;2;0.0;0.037037037037037035;0.037037037037037035;1;1.0;9;1
src\main\java\examples\DatagramExamples.java;68;2;1;0;21;21;5;13;33;2.5384615384615383;13;0.4852941176470588;14;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;1;1
src\main\java\examples\DNSExamples.java;222;22;1;0;53;171;8;13;122;9.384615384615385;15;0.5495495495495496;34;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;1;0;0;0;0.0;0.0;0.0;0;0.0;13;1
src\main\java\examples\EventBusExamples.java;134;7;1;0;47;105;11;9;56;6.222222222222222;9;0.417910447761194;15;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;6;1
src\main\java\examples\FileSystemExamples.java;138;15;1;0;33;21;7;14;114;8.142857142857142;20;0.8260869565217391;30;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;12;1
src\main\java\examples\HTTP2Examples.java;188;6;1;0;93;435;20;18;104;5.777777777777778;22;0.5531914893617021;22;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;2;0;0;0;0.0;0.0;0.0;0;0.0;4;1
src\main\java\examples\HTTPExamples.java;1087;56;1;0;322;6784;42;122;869;7.122950819672131;23;0.7994480220791168;195;2;2;0;0;0;0;0.0;0;-0.38461538461538464;0.3076923076923077;0;0;2;4;4;0.01652892561983471;0.03305785123966942;0.03305785123966942;2;0.6666666666666666;52;1
src\main\java\examples\JsonExamples.java;64;4;1;0;23;45;5;1;4;4.0;4;0.0625;1;0;0;0;0;0;0;0.0;0;1.0;1.0;0;3;0;0;0;0.0;0.0;0.0;0;0.0;0;1
src\main\java\examples\JsonPointerExamples.java;19;1;1;0;7;1;1;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;1.0;1.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
src\main\java\examples\NetExamples.java;622;7;1;0;178;2278;25;20;88;4.4;8;0.1414790996784566;26;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;1;2;2;0.014492753623188406;0.028985507246376812;0.028985507246376812;1;1.0;6;1
src\main\java\examples\package-info.java;3;1;1;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
src\main\java\examples\ParseToolsExamples.java;121;17;1;0;25;36;5;8;98;12.25;30;0.8099173553719008;24;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;2;1.0;4;1
src\main\java\examples\SharedDataExamples.java;126;10;1;0;33;66;8;12;88;7.333333333333333;13;0.6984126984126984;21;0;0;0;0;0;0;0.0;0;-1.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;9;1
src\main\java\examples\StreamsExamples.java;128;7;1;0;42;45;14;18;152;8.444444444444445;22;1.1875;30;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;12;1
src\main\java\examples\VirtualThreadExamples.java;85;2;1;0;33;51;12;2;29;14.5;19;0.3411764705882353;4;1;1;0;0;0;0;0.0;0;-1.0;0.0;0;0;3;6;6;0.23076923076923078;0.46153846153846156;0.46153846153846156;2;1.0;2;1
src\main\java\io\vertx\core\AbstractVerticle.java;41;1;1;2;13;34;4;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.5;0;0;0;3;3;0.0;0.3333333333333333;0.3333333333333333;2;1.0;0;0
src\main\java\io\vertx\core\AsyncResult.java;76;7;0;1;19;45;37;3;3;1.0;1;0.039473684210526314;3;0;0;0;0;0;0;0.0;0;1.0;1.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;1
src\main\java\io\vertx\core\buffer\Buffer.java;190;1;1;1;95;4371;70;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;1.0;1.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
src\main\java\io\vertx\core\buffer\impl\BufferImpl.java;491;13;3;0;110;0;3;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;-0.5;0.25;0;0;1;85;85;0.010101010101010102;0.8585858585858586;0.8585858585858586;1;1.0;0;0
src\main\java\io\vertx\core\buffer\impl\BufferInternal.java;131;1;2;1;59;1711;14;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
src\main\java\io\vertx\core\buffer\impl\PartialPooledByteBufAllocator.java;86;1;1;0;20;190;4;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
src\main\java\io\vertx\core\buffer\impl\VertxByteBufAllocator.java;32;2;0;0;4;1;5;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
src\main\java\io\vertx\core\buffer\impl\VertxHeapByteBuf.java;41;2;0;0;7;21;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
src\main\java\io\vertx\core\buffer\impl\VertxUnsafeHeapByteBuf.java;41;2;0;0;7;21;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0
